Test_Date	County	Total_Number_of_Tests_Performed		
8/30/2023	Albany	103		
8/30/2023	Allegany	1		
8/30/2023	Bronx	1099		
8/30/2023	Broome	87		
8/30/2023	Capital Region	356		
8/30/2023	Cattaraugus	6		
8/30/2023	Cayuga	16		
8/30/2023	Central New York	411		
8/30/2023	Chautauqua	24		
8/30/2023	Chemung	25		
8/30/2023	Chenango	77		
8/30/2023	Clinton	50		
8/30/2023	Columbia	9		
8/30/2023	Cortland	21		
8/30/2023	Delaware	9		
8/30/2023	Dutchess	136		
8/30/2023	Erie	133		
8/30/2023	Essex	20		
8/30/2023	Finger Lakes	419		
8/30/2023	Franklin	27		
8/30/2023	Fulton	18		
8/30/2023	Genesee	16		
8/30/2023	Greene	4		
8/30/2023	Hamilton	2		
8/30/2023	Herkimer	16		
8/30/2023	Jefferson	52		
8/30/2023	Kings	1491		
8/30/2023	Lewis	13		
8/30/2023	Livingston	8		
8/30/2023	Long Island	1347		
8/30/2023	Madison	36		
8/30/2023	Mid-Hudson	1444		
8/30/2023	Mohawk Valley	173		
8/30/2023	Monroe	285		
8/30/2023	Montgomery	9		
8/30/2023	Nassau	773		
8/30/2023	New York	755		
8/30/2023	New York City	4526		
8/30/2023	Niagara	33		
8/30/2023	North Country	247		
8/30/2023	Oneida	115		
8/30/2023	Onondaga	256		
8/30/2023	Ontario	27		
8/30/2023	Orange	352		
8/30/2023	Orleans	8		
8/30/2023	Oswego	82		
8/30/2023	Otsego	14		
8/30/2023	Putnam	58		
8/30/2023	Queens	1048		
8/30/2023	Rensselaer	42		
8/30/2023	Richmond	133		
8/30/2023	Rockland	187		
8/30/2023	STATEWIDE	9368		
8/30/2023	Saratoga	107		
8/30/2023	Schenectady	39		
8/30/2023	Schoharie	1		
8/30/2023	Schuyler	7		
8/30/2023	Seneca	16		
8/30/2023	Southern Tier	248		
8/30/2023	St. Lawrence	83		
8/30/2023	Steuben	18		
8/30/2023	Suffolk	574		
8/30/2023	Sullivan	38		
8/30/2023	Tioga	5		
8/30/2023	Tompkins	20		
8/30/2023	Ulster	56		
8/30/2023	Warren	28		
8/30/2023	Washington	24		
8/30/2023	Wayne	47		
8/30/2023	Westchester	617		
8/30/2023	Western New York	197		
8/30/2023	Wyoming	6		
8/30/2023	Yates	6		
8/29/2023	Albany	87		
8/29/2023	Allegany	4		
8/29/2023	Bronx	1149		
8/29/2023	Broome	102		
8/29/2023	Capital Region	300		
8/29/2023	Cattaraugus	17		
8/29/2023	Cayuga	18		
8/29/2023	Central New York	406		
8/29/2023	Chautauqua	30		
8/29/2023	Chemung	50		
8/29/2023	Chenango	14		
8/29/2023	Clinton	46		
8/29/2023	Columbia	11		
8/29/2023	Cortland	16		
8/29/2023	Delaware	21		
8/29/2023	Dutchess	132		
8/29/2023	Erie	118		
8/29/2023	Essex	17		
8/29/2023	Finger Lakes	326		
8/29/2023	Franklin	27		
8/29/2023	Fulton	30		
8/29/2023	Genesee	15		
8/29/2023	Greene	4		
8/29/2023	Hamilton	1		
8/29/2023	Herkimer	17		
8/29/2023	Jefferson	78		
8/29/2023	Kings	1472		
8/29/2023	Lewis	16		
8/29/2023	Livingston	6		
8/29/2023	Long Island	1695		
8/29/2023	Madison	26		
8/29/2023	Mid-Hudson	1532		
8/29/2023	Mohawk Valley	182		
8/29/2023	Monroe	234		
8/29/2023	Montgomery	24		
8/29/2023	Nassau	895		
8/29/2023	New York	901		
8/29/2023	New York City	5132		
8/29/2023	Niagara	28		
8/29/2023	North Country	258		
8/29/2023	Oneida	102		
8/29/2023	Onondaga	243		
8/29/2023	Ontario	15		
8/29/2023	Orange	399		
8/29/2023	Orleans	4		
8/29/2023	Oswego	103		
8/29/2023	Otsego	6		
8/29/2023	Putnam	55		
8/29/2023	Queens	1339		
8/29/2023	Rensselaer	51		
8/29/2023	Richmond	271		
8/29/2023	Rockland	186		
8/29/2023	STATEWIDE	10302		
8/29/2023	Saratoga	78		
8/29/2023	Schenectady	27		
8/29/2023	Schoharie	3		
8/29/2023	Schuyler	6		
8/29/2023	Seneca	20		
8/29/2023	Southern Tier	274		
8/29/2023	St. Lawrence	73		
8/29/2023	Steuben	50		
8/29/2023	Suffolk	800		
8/29/2023	Sullivan	31		
8/29/2023	Tioga	10		
8/29/2023	Tompkins	21		
8/29/2023	Ulster	66		
8/29/2023	Warren	26		
8/29/2023	Washington	16		
